Filepath,Label
surface_crack_detection\classification\dataset_binary\Disseminated\h_25_154.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_22_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_17_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_3_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_79_31.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_48.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_28.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_41_259.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_30_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_45.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_76_4.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_28_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_30.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_38_253.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_39_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_149_37.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_40_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_43.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_149_46.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_35_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_39_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_73.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_13_131.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_39_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_15_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_34_10.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_1_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_33_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_6_157.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_32_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_40_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_88_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_32_10.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_32_229.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_40_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_116_7.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_15_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_29_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_17_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_10_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_49.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_12_8.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_31_17.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\h_34_155.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_39_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_4_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_14_150.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_141_7.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_9_158.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_32_5.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_27_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_54.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_3_194.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_16_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_30_139.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_43.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_7_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_1_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_12_6.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_9_6.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_15.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_92.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_14_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_35_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_36_5.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_38.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_32_4.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_53.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_8_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_30_11.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_7_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_20_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_25_176.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_34_18.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_15_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_14_160.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_38_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_30_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_8_8.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_11_8.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_26_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_83_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_38_197.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_52.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_24_250.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_42.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_82.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_13_130.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_43.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_0_37.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_31.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_11_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\b_34_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_76_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_47.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_149_38.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_38_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_30_5.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_41.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\h_25_176.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_8_5.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\b_38_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_66.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_39_5.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_13_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_23_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_41.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_7_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_76_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_34_11.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_10_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_21_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_20_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_23_7.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_13_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\h_40_93.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_11_9.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_32_9.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_41.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_26.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_143_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_38_252.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_37_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_17_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_29_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_8_7.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_13_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_6_42.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_31_91.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_22_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_46.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_29_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_21_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_0_42.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\b_38_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_31_40.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_83.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_30_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_6_148.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_23_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_16_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_44.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_14_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_13_146.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_13_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_36_6.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_28_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_0_32.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_33_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_1_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_36_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_36_9.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_12_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\h_41_112.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_58.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_9_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_31.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_3_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_31_42.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_65.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_34_13.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_34_12.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_56.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_24_249.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_74.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_115_241.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_19_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_27.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_22_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_16.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_4_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_0_111.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_2_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_67.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_80_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_6_32.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_30_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\b_38_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_44.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_4_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_57.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_41_68.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_26_1.png,Disseminated
